"word","freq"
"malaria","malaria",1086
"cases","cases",276
"amp","amp",189
"drfriedencdc","drfriedencdc",127
"year","year",110
"cdcglobal","cdcglobal",107
"can","can",97
"kenya","kenya",85
"fight","fight",83
"high","high",74
"africa","africa",71
"highest","highest",70
"imported","imported",69
"years","years",68
"health","health",65
"people","people",63
"via","via",62
"httptcooqwxzirf","httptcooqwxzirf",61
"solar","solar",61
"nets","nets",60
"cdc","cdc",59
"travel","travel",59
"control","control",58
"travelers","travelers",57
"mosquito","mosquito",54
"http","http",52
"number","number",52
"since","since",52
"nearly","nearly",51
"now","now",51
"every","every",50
"prevent","prevent",50
"shows","shows",47
"progress","progress",46
"endmalaria","endmalaria",44
"usaidgh","usaidgh",44
"new","new",42
"residual","residual",42
"indoor","indoor",41
"report","report",41
"acquired","acquired",40
"end","end",40
"largest","largest",40
"power","power",40
"vector","vector",40
"global","global",39
"reduce","reduce",39
"spraying","spraying",39
"disease","disease",38
"rollbackmalaria","rollbackmalaria",38
"using","using",38
"countries","countries",37
"core","core",36
"insecticidal","insecticidal",36
"longlasting","longlasting",36
"malarianomore","malarianomore",36
"pmigov","pmigov",36
"measures","measures",35
"prevented","prevented",35
"two","two",35
"trap","trap",34
"httptco","httptco",33
"read","read",33
"dangerous","dangerous",32
"deaths","deaths",32
"instead","instead",32
"pesticide","pesticide",32
"sun","sun",32
"take","take",32
"western","western",32
"clever","clever",31
"httptcodkiq","httptcodkiq",31
"tech","tech",31
"areas","areas",30
"httptcobmgxbi","httptcobmgxbi",30
"india","india",30
"join","join",30
"just","just",30
"strombo","strombo",30
"child","child",29
"fighting","fighting",29
"malarianomo","malarianomo",29
"preventable","preventable",29
"undp","undp",29
"vigilance","vigilance",28
"aids","aids",27
"asia","asia",27
"dies","dies",27
"increasing","increasing",27
"minute","minute",27
"news","news",27
"states","states",27
"treatable","treatable",27
"unfoundation","unfoundation",27
"video","video",27
"country","country",26
"elimination","elimination",26
"meds","meds",26
"united","united",26
