"word","freq"
"malaria","malaria",1086
"the","the",493
"cases","cases",275
"amp","amp",195
"are","are",131
"and","and",129
"drfriedencdc","drfriedencdc",127
"cdcglobal","cdcglobal",107
"can","can",97
"kenya","kenya",84
"could","could",83
"fight","fight",81
"into","into",80
"all","all",79
"with","with",77
"high","high",73
"africa","africa",72
"highest","highest",70
"imported","imported",69
"years","years",68
"been","been",65
"health","health",65
"40year","40year",64
"people","people",64
"via","via",63
"solar","solar",62
"httptcooqw71xzirf","httptcooqw71xzirf",61
"have","have",60
"for","for",59
"nets","nets",59
"travel","travel",59
"cdc","cdc",58
"control","control",57
"travelers","travelers",57
"http","http",55
"mosquito","mosquito",55
"more","more",54
"you","you",53
"2011","2011",52
"number","number",52
"since","since",52
"from","from",51
"most","most",51
"now","now",51
"prevent","prevent",51
"every","every",50
"this","this",50
"shows","shows",47
"how","how",46
"progress","progress",46
"who","who",45
"year","year",45
"endmalaria","endmalaria",44
"usaidgh","usaidgh",44
"residual","residual",42
"indoor","indoor",41
"new","new",41
"acquired","acquired",40
"end","end",40
"largest","largest",40
"reduce","reduce",40
"report","report",40
"vector","vector",40
"1971nearly","1971nearly",39
"global","global",39
"spraying","spraying",39
"disease","disease",38
"power","power",38
"rollbackmalaria","rollbackmalaria",38
"where","where",38
"countries","countries",37
"malarianomore","malarianomore",37
"core","core",36
"insecticidal","insecticidal",36
"longlasting","longlasting",36
"pmigov","pmigov",36
"using","using",36
"measures","measures",35
"prevented","prevented",35
"there","there",35
"trap","trap",35
"two","two",35
"that","that",34
"has","has",33
"only","only",33
"read","read",33
"western","western",33
"against","against",32
"dangerous","dangerous",32
"deaths","deaths",32
"take","take",32
"were","were",32
"httptco2dk85iq9","httptco2dk85iq9",31
"areas","areas",30
"india","india",30
"instead","instead",30
"join","join",30
"just","just",30
"pesticide","pesticide",30
"sun","sun",30
"child","child",29
"clever","clever",29
"fighting","fighting",29
"preventable","preventable",29
"tech","tech",29
"undp","undp",29
"unfoundation","unfoundation",29
"httptco","httptco",28
"httptcobmgxb5098i","httptcobmgxb5098i",28
"strombo","strombo",28
"aids","aids",27
"asia","asia",27
"but","but",27
"dies","dies",27
"increasing","increasing",27
"malarianomo","malarianomo",27
"minute","minute",27
"news","news",27
"states","states",27
"than","than",27
"treatable","treatable",27
"video","video",27
"country","country",26
"elimination","elimination",26
"meds","meds",26
"united","united",26
"vigilance","vigilance",26
"each","each",25
"httptcoyw29xm","httptcoyw29xm",25
"linked","linked",25
"pmi","pmi",25
"usaid","usaid",25
"borders","borders",24
"cross","cross",24
"diseases","diseases",24
"hit","hit",24
"malariaespecially","malariaespecially",24
"south","south",24
"zambia","zambia",24
"zimbabwe","zimbabwe",24
"nothingbutnets","nothingbutnets",23
"1925","1925",22
"away","away",22
"hiv","hiv",22
"like","like",22
"critical","critical",21
"plane","plane",21
"ride","ride",21
"what","what",21
"why","why",21
"almost","almost",20
"economic","economic",20
"protect","protect",20
"worlds","worlds",20
"globalfund","globalfund",19
